Area,Servico,Solicitacao,Departamento,Setor,Responsavel
Facilities,Climatização,Ar-condicionado com defeito,Facilities,Climatização / HVAC,Analista / Técnico de Climatização (Facilities)
Facilities,Climatização,Controle remoto / automação,Facilities,Climatização / HVAC,Analista / Técnico de Climatização (Facilities)
Facilities,Climatização,Inspeção preventiva,Facilities,Climatização / HVAC,Analista / Técnico de Climatização (Facilities)
Facilities,Climatização,Limpeza de filtros,Facilities,Climatização / HVAC,Analista / Técnico de Climatização (Facilities)
Facilities,Climatização,Ventilação insuficiente,Facilities,Climatização / HVAC,Analista / Técnico de Climatização (Facilities)
Facilities,Copiadora e impressão,Digitalização de documentos,Facilities,Reprografia,Analista de Facilities (Reprografia)
Facilities,Copiadora e impressão,Encadernação e acabamento,Facilities,Reprografia,Analista de Facilities (Reprografia)
Facilities,Copiadora e impressão,Impressão confidencial,Facilities,Reprografia,Analista de Facilities (Reprografia)
Facilities,Copiadora e impressão,Impressão em grande volume,Facilities,Reprografia,Analista de Facilities (Reprografia)
Facilities,Copiadora e impressão,Plotagem técnica,Facilities,Reprografia,Analista de Facilities (Reprografia)
Facilities,Copiadora e impressão,Reposição de toner e papel,Facilities,Reprografia,Analista de Facilities (Reprografia)
Facilities,Crachá e visitantes,Acesso de terceiros,Facilities,Recepção / Segurança patrimonial,Analista de Facilities / Recepção
Facilities,Crachá e visitantes,Crachá de estacionamento,Facilities,Recepção / Segurança patrimonial,Analista de Facilities / Recepção
Facilities,Crachá e visitantes,Eventos e grupos,Facilities,Recepção / Segurança patrimonial,Analista de Facilities / Recepção
Facilities,Crachá e visitantes,Política de visitantes,Facilities,Recepção / Segurança patrimonial,Analista de Facilities / Recepção
Facilities,Crachá e visitantes,Registrar visitante,Facilities,Recepção / Segurança patrimonial,Analista de Facilities / Recepção
Facilities,Crachá e visitantes,Solicitar crachá,Facilities,Recepção / Segurança patrimonial,Analista de Facilities / Recepção
Facilities,Encomendas e correios,Malotes internos,Facilities,Malote / Correios,Analista de Facilities (Malote / Correios)
Facilities,Encomendas e correios,Minhas encomendas,Facilities,Malote / Correios,Analista de Facilities (Malote / Correios)
Facilities,Encomendas e correios,Notificação de chegada,Facilities,Malote / Correios,Analista de Facilities (Malote / Correios)
Facilities,Encomendas e correios,Rastrear envio,Facilities,Malote / Correios,Analista de Facilities (Malote / Correios)
Facilities,Encomendas e correios,Retirada pendente,Facilities,Malote / Correios,Analista de Facilities (Malote / Correios)
Facilities,Encomendas e correios,Solicitar envio,Facilities,Malote / Correios,Analista de Facilities (Malote / Correios)
Facilities,Estacionamento,Estacionamento coberto,Facilities,Estacionamento,Analista de Facilities (Estacionamento)
Facilities,Estacionamento,Estacionamento de motos,Facilities,Estacionamento,Analista de Facilities (Estacionamento)
Facilities,Estacionamento,Mapa de vagas,Facilities,Estacionamento,Analista de Facilities (Estacionamento)
Facilities,Estacionamento,Solicitar vaga mensalista,Facilities,Estacionamento,Analista de Facilities (Estacionamento)
Facilities,Estacionamento,Troca de veículo,Facilities,Estacionamento,Analista de Facilities (Estacionamento)
Facilities,Estacionamento,Vaga para visitante,Facilities,Estacionamento,Analista de Facilities (Estacionamento)
Facilities,Gestão de cardápio,Editar cardápio do refeitório,Facilities,Refeitório / Copa,Key-user Cardápio / Facilities (Refeitório)
Facilities,Gestão de resíduos,Agendar coleta especial,Facilities,Resíduos / Sustentabilidade,Analista de Facilities (Resíduos / Sustentabilidade)
Facilities,Gestão de resíduos,Campanhas de sustentabilidade,Facilities,Resíduos / Sustentabilidade,Analista de Facilities (Resíduos / Sustentabilidade)
Facilities,Gestão de resíduos,Coleta seletiva,Facilities,Resíduos / Sustentabilidade,Analista de Facilities (Resíduos / Sustentabilidade)
Facilities,Gestão de resíduos,Descarte de eletrônicos,Facilities,Resíduos / Sustentabilidade,Analista de Facilities (Resíduos / Sustentabilidade)
Facilities,Gestão de resíduos,Resíduos orgânicos,Facilities,Resíduos / Sustentabilidade,Analista de Facilities (Resíduos / Sustentabilidade)
Facilities,Gestão de resíduos,Resíduos químicos,Facilities,Resíduos / Sustentabilidade,Analista de Facilities (Resíduos / Sustentabilidade)
Facilities,Limpeza e higienização,Apoio a eventos,Facilities,Limpeza,Analista de Facilities
Facilities,Limpeza e higienização,Atendimento emergencial,Facilities,Limpeza,Plantão Facilities
Facilities,Limpeza e higienização,Coleta de materiais,Facilities,Limpeza,Analista de Facilities
Facilities,Limpeza e higienização,Desinfecção de ambientes,Facilities,Limpeza,Analista de Facilities
Facilities,Limpeza e higienização,Limpeza de estações,Facilities,Limpeza,Analista de Facilities
Facilities,Limpeza e higienização,Limpeza profunda de sala,Facilities,Limpeza,Analista de Facilities
Facilities,Manutenção predial,Abrir chamado de manutenção,Facilities,Manutenção Predial,Analista / Técnico de Manutenção Predial (Facilities)
Facilities,Manutenção predial,Elevadores e acessos,Facilities,Manutenção Predial,Analista de Facilities
Facilities,Manutenção predial,Inspeção preventiva,Facilities,Manutenção Predial,Analista de Facilities
Facilities,Manutenção predial,Manutenção elétrica,Facilities,Manutenção Predial,Analista / Técnico de Manutenção Predial (Facilities)
Facilities,Manutenção predial,Manutenção hidráulica,Facilities,Manutenção Predial,Analista / Técnico de Manutenção Predial (Facilities)
Facilities,Manutenção predial,Reparos civis,Facilities,Manutenção Predial,Analista de Facilities
Facilities,Refeitório e copa,Alimentação para eventos,Facilities,Refeitório / Copa,Analista de Facilities (Refeitório / Copa)
Facilities,Refeitório e copa,Cardápio da semana,Facilities,Refeitório / Copa,Analista de Facilities (Refeitório / Copa)
Facilities,Refeitório e copa,Dieta restritiva,Facilities,Refeitório / Copa,Analista de Facilities (Refeitório / Copa)
Facilities,Refeitório e copa,Horário estendido,Facilities,Refeitório / Copa,Analista de Facilities (Refeitório / Copa)
Facilities,Refeitório e copa,Reportar problema na copa,Facilities,Refeitório / Copa,Analista de Facilities (Refeitório / Copa)
Facilities,Refeitório e copa,Reservar coffee break,Facilities,Refeitório / Copa,Analista de Facilities (Refeitório / Copa)
Facilities,Reserva de veículos,Checklist de devolução,Facilities,Frota,Analista de Facilities (Frota)
Facilities,Reserva de veículos,Corolla — ABC1D23,Facilities,Frota,Analista de Facilities (Frota)
Facilities,Reserva de veículos,Frota disponível,Facilities,Frota,Analista de Facilities (Frota)
Facilities,Reserva de veículos,Reservar veículo,Facilities,Frota,Analista de Facilities (Frota)
Facilities,Reserva de veículos,Spin — DEF4G56,Facilities,Frota,Analista de Facilities (Frota)
Facilities,Reserva de veículos,Strada — GHI7J89,Facilities,Frota,Analista de Facilities (Frota)
Facilities,Reservas de salas,Auditório Principal — 80 lugares,Facilities,Reservas / Recepção,Analista de Facilities / Recepção
Facilities,Reservas de salas,Sala Alpha — 8 lugares,Facilities,Reservas / Recepção,Analista de Facilities / Recepção
Facilities,Reservas de salas,Sala Beta — 12 lugares,Facilities,Reservas / Recepção,Analista de Facilities / Recepção
Facilities,Reservas de salas,Sala Foco — 4 lugares,Facilities,Reservas / Recepção,Analista de Facilities / Recepção
Facilities,Reservas de salas,Sala Híbrida — 20 lugares,Facilities,Reservas / Recepção,Analista de Facilities / Recepção
Facilities,Reservas de salas,War Room — 16 lugares,Facilities,Reservas / Recepção,Analista de Facilities / Recepção
Jurídico,Assinatura digital,Assinar documento pendente,Jurídico,Contratos / Assinatura,Analista Jurídico (Assinatura digital / Contratos)
Jurídico,Assinatura digital,Assinatura em lote,Jurídico,Contratos / Assinatura,Analista Jurídico (Assinatura digital / Contratos)
Jurídico,Assinatura digital,Certificado ICP-Brasil,Jurídico,Contratos / Assinatura,Analista Jurídico (Assinatura digital / Contratos)
Jurídico,Assinatura digital,Enviar para assinatura,Jurídico,Contratos / Assinatura,Analista Jurídico (Assinatura digital / Contratos)
Jurídico,Assinatura digital,Política de assinatura,Jurídico,Contratos / Assinatura,Analista Jurídico (Assinatura digital / Contratos)
Jurídico,Assinatura digital,Validar documento assinado,Jurídico,Contratos / Assinatura,Analista Jurídico (Assinatura digital / Contratos)
Jurídico,Canal de denúncias,Acompanhar protocolo,Compliance,Ética,Compliance / Ética
Jurídico,Canal de denúncias,Assédio moral ou sexual,Compliance,Ética,Compliance / Ética
Jurídico,Canal de denúncias,Estatísticas anuais,Compliance,Ética,Compliance / Ética
Jurídico,Canal de denúncias,Fraude e corrupção,Compliance,Ética,Compliance / Ética
Jurídico,Canal de denúncias,Política antirretaliação,Compliance,Ética,Compliance / Ética
Jurídico,Canal de denúncias,Registrar denúncia,Compliance,Ética,Compliance / Ética
Jurídico,Código de conduta,Certificado de leitura,Compliance,Ética,Compliance / Ética
Jurídico,Código de conduta,Código de conduta vigente,Compliance,Ética,Compliance / Ética
Jurídico,Código de conduta,Declaração de conflito,Compliance,Ética,Compliance / Ética
Jurídico,Código de conduta,Política anticorrupção,Compliance,Ética,Compliance / Ética
Jurídico,Código de conduta,Presentes e hospitalidade,Compliance,Ética,Compliance / Ética
Jurídico,Código de conduta,Treinamento de integridade,Compliance,Ética,Compliance / Ética
Jurídico,Consultoria jurídica,Agendar consulta,Jurídico,Consultoria,Analista Jurídico
Jurídico,Consultoria jurídica,Base de pareceres,Jurídico,Consultoria,Analista Jurídico
Jurídico,Consultoria jurídica,Orientação trabalhista,Jurídico,Trabalhista,Advogado Trabalhista / Jurídico
Jurídico,Consultoria jurídica,Parecer expresso,Jurídico,Consultoria,Analista Jurídico
Jurídico,Consultoria jurídica,Questões societárias,Jurídico,Consultoria,Analista Jurídico
Jurídico,Consultoria jurídica,Regulatório e licenças,Jurídico,Regulatório,Advogado Regulatório / Jurídico
Jurídico,Contratos e minutas,Cláusulas essenciais,Jurídico,Contratos,Advogado de Contratos / Jurídico
Jurídico,Contratos e minutas,Contrato de fornecedor,Jurídico,Contratos,Advogado de Contratos / Jurídico
Jurídico,Contratos e minutas,Minutas padronizadas,Jurídico,Contratos,Advogado de Contratos / Jurídico
Jurídico,Contratos e minutas,NDA / Confidencialidade,Jurídico,Contratos,Advogado de Contratos / Jurídico
Jurídico,Contratos e minutas,Revisão de contrato,Jurídico,Contratos,Advogado de Contratos / Jurídico
Jurídico,Contratos e minutas,Termo de parceria,Jurídico,Contratos,Advogado de Contratos / Jurídico
Jurídico,Declarações e certidões,Carta de referência,Jurídico,Trabalhista (apoio RH),"Advogado Trabalhista / Jurídico (ou RH, conforme documento)"
Jurídico,Declarações e certidões,Certidão negativa trabalhista,Jurídico,Geral,Analista Jurídico
Jurídico,Declarações e certidões,Certidão simplificada da Junta,Jurídico,Geral,Analista Jurídico
Jurídico,Declarações e certidões,Declaração de renda,Jurídico,Trabalhista (apoio RH),"Advogado Trabalhista / Jurídico (ou RH, conforme documento)"
Jurídico,Declarações e certidões,Declaração de vínculo,Jurídico,Trabalhista (apoio RH),"Advogado Trabalhista / Jurídico (ou RH, conforme documento)"
Jurídico,Declarações e certidões,Emissão urgente,Jurídico,Geral,Analista Jurídico
Jurídico,Due diligence,Análise de mídia,Compliance,Jurídico,Compliance / Ética / Analista Jurídico
Jurídico,Due diligence,Consultar status,Compliance,Jurídico,Compliance / Ética / Analista Jurídico
Jurídico,Due diligence,Due diligence simplificada,Compliance,Jurídico,Compliance / Ética / Analista Jurídico
Jurídico,Due diligence,Iniciar due diligence,Compliance,Jurídico,Compliance / Ética / Analista Jurídico
Jurídico,Due diligence,Listas restritivas,Compliance,Jurídico,Compliance / Ética / Analista Jurídico
Jurídico,Due diligence,Matriz de risco,Compliance,Jurídico,Compliance / Ética / Analista Jurídico
Jurídico,LGPD e privacidade,Comunicar incidente,Privacidade,LGPD (DPO),DPO / Encarregado de Dados (LGPD)
Jurídico,LGPD e privacidade,Direitos do titular,Privacidade,LGPD (DPO),DPO / Encarregado de Dados (LGPD)
Jurídico,LGPD e privacidade,Mapeamento de dados,Privacidade,LGPD (DPO),DPO / Encarregado de Dados (LGPD)
Jurídico,LGPD e privacidade,Política de privacidade,Privacidade,LGPD (DPO),DPO / Encarregado de Dados (LGPD)
Jurídico,LGPD e privacidade,RIPD / DPIA,Privacidade,LGPD (DPO),DPO / Encarregado de Dados (LGPD)
Jurídico,LGPD e privacidade,Treinamento LGPD,Privacidade,LGPD (DPO),DPO / Encarregado de Dados (LGPD)
Jurídico,Procurações e poderes,Consultar procurações ativas,Jurídico,Societário,Advogado Societário / Jurídico
Jurídico,Procurações e poderes,Matriz de alçadas,Jurídico,Societário,Advogado Societário / Jurídico
Jurídico,Procurações e poderes,Procuração pública,Jurídico,Societário,Advogado Societário / Jurídico
Jurídico,Procurações e poderes,Revogar procuração,Jurídico,Societário,Advogado Societário / Jurídico
Jurídico,Procurações e poderes,Solicitar procuração,Jurídico,Societário,Advogado Societário / Jurídico
Jurídico,Procurações e poderes,Substabelecimento,Jurídico,Societário,Advogado Societário / Jurídico
Jurídico,Seguro de vida,Atualizar beneficiários,RH,Benefícios (apoio Jurídico),Analista de Benefícios (RH) / Analista Jurídico
Jurídico,Seguro de vida,Carteirinha digital,RH,Benefícios (apoio Jurídico),Analista de Benefícios (RH) / Analista Jurídico
Jurídico,Seguro de vida,Comunicar sinistro,RH,Benefícios (apoio Jurídico),Analista de Benefícios (RH) / Analista Jurídico
Jurídico,Seguro de vida,Consultar cobertura,RH,Benefícios (apoio Jurídico),Analista de Benefícios (RH) / Analista Jurídico
Jurídico,Seguro de vida,FAQ do seguro,RH,Benefícios (apoio Jurídico),Analista de Benefícios (RH) / Analista Jurídico
Jurídico,Seguro de vida,Seguro complementar,RH,Benefícios (apoio Jurídico),Analista de Benefícios (RH) / Analista Jurídico
